# Size ExpectedDensity IndexOfInstance timeLCL DensityLCL timeGreedy DensityGreedy
200 0.2 28 2 6374 1 6374
200 0.2 29 2 6585 0 6585
200 0.2 30 2 6388 1 6388
200 0.2 31 2 6253 0 6253
200 0.2 32 2 6261 0 6261
200 0.2 33 2 6578 0 6578
200 0.2 34 2 6425 1 6425
200 0.2 35 1 6388 1 6388
200 0.2 36 2 6160 0 6160
200 0.2 37 2 6440 0 6440
200 0.2 38 2 6632 1 6632
200 0.2 39 2 6579 1 6579
200 0.2 40 2 6294 1 6294
200 0.2 41 1 6096 1 6096
200 0.2 42 2 6474 0 6474
200 0.2 43 2 6201 0 6201
200 0.2 44 2 6274 0 6274
200 0.2 45 2 6201 0 6201
200 0.2 46 2 6532 1 6532
200 0.2 47 2 6444 1 6444
200 0.2 48 1 6503 1 6503
200 0.2 49 2 6329 0 6329
200 0.2 50 2 6293 0 6293
200 0.3 0 3 14137 0 14137
200 0.3 1 3 13829 0 13829
200 0.3 2 3 14223 0 14223
200 0.3 3 3 14475 0 14475
200 0.3 4 3 14145 0 14145
200 0.3 5 3 14253 0 14253
200 0.3 6 3 14171 0 14171
200 0.3 7 3 14460 1 14460
200 0.3 8 3 14179 1 14179
200 0.3 9 3 13953 1 13953
200 0.3 10 4 14377 1 14377
200 0.3 11 3 14049 1 14049
200 0.3 12 3 14365 1 14365
200 0.3 13 3 14192 1 14192
200 0.3 14 2 14014 1 14014
200 0.3 15 3 14342 1 14342
200 0.3 16 2 14037 1 14037
200 0.3 17 2 14289 1 14289
200 0.3 18 2 14078 1 14078
200 0.3 19 2 14230 1 14230
200 0.3 20 2 14112 1 14112
200 0.3 21 2 14564 1 14564
200 0.3 22 2 14363 1 14363
200 0.3 23 2 14642 1 14642
200 0.3 24 2 14682 1 14682
200 0.3 25 2 14267 1 14267
200 0.3 26 3 14197 1 14197
200 0.3 27 3 14402 1 14402
200 0.3 28 2 14210 1 14210
200 0.3 29 2 13987 1 13987
200 0.3 30 2 14005 1 14005
200 0.3 31 2 14100 1 14100
200 0.3 32 2 14206 1 14206
200 0.3 33 2 13913 1 13913
200 0.3 34 3 14386 0 14386
200 0.3 35 3 14492 0 14492
200 0.3 36 3 13950 0 13950
200 0.3 37 3 14137 1 14137
200 0.3 38 3 14229 1 14229
200 0.3 39 3 13988 1 13988
200 0.3 40 2 14298 1 14298
200 0.3 41 2 14457 1 14457
200 0.3 42 2 14369 1 14369
200 0.3 43 2 14179 1 14179
200 0.3 44 3 14377 0 14377
200 0.3 45 3 14593 1 14593
200 0.3 46 4 14044 1 14044
200 0.3 47 3 14231 1 14231
200 0.3 48 2 14305 1 14305
200 0.3 49 2 14113 1 14113
